CollectionNumber,Species_Code,Spec_Num,Com_Name,Gear_Code,Gear_Description,FishWeight_g,Sex,DateFull,Month,TL_mm,DayOfTheYear,Age_Yrs,Age_Days,Age_FracYrs,AgeMethod,YearClass
19900057,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,2,9,23-Jul-90,7,54,204,0,204,0.56,length,1990
19880103,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,3,9,27-Jul-88,7,55,209,0,209,0.57,length,1988
19880103,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,3,9,27-Jul-88,7,55,209,0,209,0.57,length,1988
19920219,A263,8,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,30-Jul-92,7,62,212,0,212,0.58,length,1992
20021035,A263,1,Sheepshead,011,ELECTROFISHING,3,,5-Aug-02,8,48,217,0,217,0.59,length,2002
20140880,A263,1,Sheepshead,011,ELECTROFISHING,,,6-Aug-14,8,82,218,0,218,0.60,length,2014
19900066,A263,3,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,17-Aug-90,8,100,229,0,229,0.63,length,1990
19900066,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,17-Aug-90,8,100,229,0,229,0.63,length,1990
19890059,A263,18,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,17-Aug-89,8,105,229,0,229,0.63,length,1989
19900066,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,17-Aug-90,8,125,229,0,229,0.63,length,1990
19900066,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,17-Aug-90,8,126,229,0,229,0.63,length,1990
19867010,A263,1,Sheepshead,010,ROTENONE,,,19-Aug-86,8,75,231,0,231,0.63,length,1986
20111045,A263,1,Sheepshead,011,ELECTROFISHING,,,24-Aug-11,8,71,236,0,236,0.65,length,2011
20051040,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,1-Sep-05,9,142,244,0,244,0.67,length,2005
20021187,A263,8,Sheepshead,011,ELECTROFISHING,,,3-Sep-02,9,67,246,0,246,0.67,length,2002
19910371,A263,7,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,86,248,0,248,0.68,length,1991
19910371,A263,6,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,105,248,0,248,0.68,length,1991
19910371,A263,13,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,105,248,0,248,0.68,length,1991
19910371,A263,10,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,106,248,0,248,0.68,length,1991
19910371,A263,12,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,107,248,0,248,0.68,length,1991
19910371,A263,8,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,5-Sep-91,9,122,248,0,248,0.68,length,1991
20061058,A263,1,Sheepshead,011,ELECTROFISHING,10,,6-Sep-06,9,80,249,0,249,0.68,length,2006
19940433,A263,24,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,95,249,0,249,0.68,length,1994
19940433,A263,40,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,99,249,0,249,0.68,length,1994
20111076,A263,1,Sheepshead,011,ELECTROFISHING,,,6-Sep-11,9,99,249,0,249,0.68,length,2011
19940433,A263,23,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,101,249,0,249,0.68,length,1994
19940433,A263,25,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,102,249,0,249,0.68,length,1994
19940433,A263,5,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,110,249,0,249,0.68,length,1994
19940433,A263,28,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,110,249,0,249,0.68,length,1994
19940433,A263,26,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,111,249,0,249,0.68,length,1994
19940433,A263,27,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,113,249,0,249,0.68,length,1994
19940433,A263,42,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,116,249,0,249,0.68,length,1994
19940433,A263,17,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,118,249,0,249,0.68,length,1994
19940433,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,120,249,0,249,0.68,length,1994
19940433,A263,29,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,120,249,0,249,0.68,length,1994
19940433,A263,22,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,6-Sep-94,9,125,249,0,249,0.68,length,1994
19940433,A263,41,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,90,,6-Sep-94,9,139.2724,249,0,249,0.68,length,1994
19900075,A263,1,Sheepshead,010,ROTENONE,17,9,7-Sep-90,9,97,250,0,250,0.68,length,1990
20150957,A263,1,Sheepshead,011,ELECTROFISHING,,,9-Sep-15,9,68,252,0,252,0.69,length,2015
20041035,A263,3,Sheepshead,011,ELECTROFISHING,,,10-Sep-04,9,69,254,0,254,0.70,length,2004
20041035,A263,4,Sheepshead,011,ELECTROFISHING,,,10-Sep-04,9,78,254,0,254,0.70,length,2004
20041035,A263,1,Sheepshead,011,ELECTROFISHING,,,10-Sep-04,9,82,254,0,254,0.70,length,2004
20041031,A263,1,Sheepshead,011,ELECTROFISHING,,,10-Sep-04,9,85,254,0,254,0.70,length,2004
20041035,A263,2,Sheepshead,011,ELECTROFISHING,,,10-Sep-04,9,87,254,0,254,0.70,length,2004
20081056,A263,1,Sheepshead,011,ELECTROFISHING,,,11-Sep-08,9,84,255,0,255,0.70,length,2008
19890066,A263,92,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,77,257,0,257,0.70,length,1989
19890066,A263,82,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,84,257,0,257,0.70,length,1989
19890066,A263,81,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,95,257,0,257,0.70,length,1989
19890066,A263,100,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,95,257,0,257,0.70,length,1989
19890066,A263,79,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,100,257,0,257,0.70,length,1989
19890066,A263,97,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,101,257,0,257,0.70,length,1989
19930413,A263,16,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,101,257,0,257,0.70,length,1993
19890066,A263,99,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,103,257,0,257,0.70,length,1989
19930413,A263,18,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,104,257,0,257,0.70,length,1993
19890066,A263,85,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,108,257,0,257,0.70,length,1989
19890066,A263,88,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,111,257,0,257,0.70,length,1989
19890066,A263,98,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,113,257,0,257,0.70,length,1989
19890066,A263,80,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,115,257,0,257,0.70,length,1989
19890066,A263,95,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,115,257,0,257,0.70,length,1989
19890066,A263,101,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,118,257,0,257,0.70,length,1989
19930413,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,118,257,0,257,0.70,length,1993
19930413,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,119,257,0,257,0.70,length,1993
19890066,A263,91,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,122,257,0,257,0.70,length,1989
19930413,A263,7,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,122,257,0,257,0.70,length,1993
19890066,A263,84,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,124,257,0,257,0.70,length,1989
19890066,A263,83,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,125,257,0,257,0.70,length,1989
19890066,A263,87,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,125,257,0,257,0.70,length,1989
19890066,A263,96,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,130,257,0,257,0.70,length,1989
19930413,A263,15,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,130,257,0,257,0.70,length,1993
19930413,A263,17,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,131,257,0,257,0.70,length,1993
19890066,A263,78,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,133,257,0,257,0.70,length,1989
19890066,A263,86,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,138,257,0,257,0.70,length,1989
19930413,A263,14,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,14-Sep-93,9,138,257,0,257,0.70,length,1993
19890066,A263,89,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,14-Sep-89,9,140,257,0,257,0.70,length,1989
20051073,A263,1,Sheepshead,011,ELECTROFISHING,,,15-Sep-05,9,82,258,0,258,0.71,length,2005
20021268,A263,1,Sheepshead,011,ELECTROFISHING,,,18-Sep-02,9,85,261,0,261,0.72,length,2002
19900079,A263,23,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,90,262,0,262,0.72,length,1990
19900079,A263,40,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,90,262,0,262,0.72,length,1990
19900079,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,94,262,0,262,0.72,length,1990
19900079,A263,20,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,98,262,0,262,0.72,length,1990
19900079,A263,39,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,99,262,0,262,0.72,length,1990
19900079,A263,5,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,100,262,0,262,0.72,length,1990
19900079,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,102,262,0,262,0.72,length,1990
19900079,A263,28,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,104,262,0,262,0.72,length,1990
19900079,A263,26,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,106,262,0,262,0.72,length,1990
19900079,A263,10,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,110,262,0,262,0.72,length,1990
19900079,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,17,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,24,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,27,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,30,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,32,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,113,262,0,262,0.72,length,1990
19900079,A263,19,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,114,262,0,262,0.72,length,1990
19900079,A263,33,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,114,262,0,262,0.72,length,1990
19900079,A263,6,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,116,262,0,262,0.72,length,1990
19900079,A263,42,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,116,262,0,262,0.72,length,1990
19900079,A263,9,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,117,262,0,262,0.72,length,1990
19900079,A263,16,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,117,262,0,262,0.72,length,1990
19900079,A263,25,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,117,262,0,262,0.72,length,1990
19900079,A263,41,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,117,262,0,262,0.72,length,1990
19900079,A263,35,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,118,262,0,262,0.72,length,1990
19900079,A263,8,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,122,262,0,262,0.72,length,1990
19900079,A263,11,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,122,262,0,262,0.72,length,1990
19900079,A263,3,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,125,262,0,262,0.72,length,1990
19900079,A263,12,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,127,262,0,262,0.72,length,1990
19900079,A263,22,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,127,262,0,262,0.72,length,1990
19900079,A263,31,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,127,262,0,262,0.72,length,1990
19900079,A263,18,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,130,262,0,262,0.72,length,1990
19900079,A263,34,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,130,262,0,262,0.72,length,1990
19900079,A263,21,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,131,262,0,262,0.72,length,1990
19900079,A263,14,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,137,262,0,262,0.72,length,1990
19900079,A263,15,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,138,262,0,262,0.72,length,1990
19900079,A263,43,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,57,9,19-Sep-90,9,139,262,0,262,0.72,length,1990
19900079,A263,13,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,140,262,0,262,0.72,length,1990
19900079,A263,38,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,140,262,0,262,0.72,length,1990
19900079,A263,37,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,145,262,0,262,0.72,length,1990
19900079,A263,36,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,19-Sep-90,9,153,262,0,262,0.72,length,1990
20021273,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,20-Sep-02,9,141,263,0,263,0.72,length,2002
20061155,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,22-Sep-06,9,135,265,0,265,0.73,length,2006
19910382,A263,1,Sheepshead,010,ROTENONE,10,9,24-Sep-91,9,85,267,0,267,0.73,length,1991
19910382,A263,2,Sheepshead,010,ROTENONE,22,9,24-Sep-91,9,108,267,0,267,0.73,length,1991
20081110,A263,1,Sheepshead,011,ELECTROFISHING,,,23-Sep-08,9,152,267,0,267,0.73,length,2008
20011028,A263,1,Sheepshead,011,ELECTROFISHING,20,,26-Sep-01,9,103,269,0,269,0.74,length,2001
20011026,A263,1,Sheepshead,011,ELECTROFISHING,40,,26-Sep-01,9,123,269,0,269,0.74,length,2001
19990942,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,28-Sep-99,9,130,271,0,271,0.74,length,1999
20141137,A263,1,Sheepshead,011,ELECTROFISHING,,,2-Oct-14,10,110,275,0,275,0.75,length,2014
20021323,A263,1,Sheepshead,011,ELECTROFISHING,,,3-Oct-02,10,88,276,0,276,0.76,length,2002
19900083,A263,8,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,98,276,0,276,0.76,length,1990
19900083,A263,10,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,106,276,0,276,0.76,length,1990
19900083,A263,6,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,114,276,0,276,0.76,length,1990
19900083,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,117,276,0,276,0.76,length,1990
19900083,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,132,276,0,276,0.76,length,1990
19900083,A263,3,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,138,276,0,276,0.76,length,1990
19900083,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,146,276,0,276,0.76,length,1990
19900083,A263,7,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,146,276,0,276,0.76,length,1990
19900083,A263,9,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,151,276,0,276,0.76,length,1990
19900083,A263,5,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,3-Oct-90,10,165,276,0,276,0.76,length,1990
20061198,A263,1,Sheepshead,011,ELECTROFISHING,,,4-Oct-06,10,74,277,0,277,0.76,length,2006
19910393,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-91,10,90,277,0,277,0.76,length,1991
19910393,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-91,10,109,277,0,277,0.76,length,1991
19910393,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-91,10,111,277,0,277,0.76,length,1991
19950788,A263,4,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-95,10,114,277,0,277,0.76,length,1995
19910393,A263,3,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-91,10,122,277,0,277,0.76,length,1991
19930437,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,4-Oct-93,10,129,277,0,277,0.76,length,1993
19910393,A263,5,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,,4-Oct-91,10,142,277,0,277,0.76,length,1991
20111242,A263,1,Sheepshead,011,ELECTROFISHING,,,5-Oct-11,10,86,278,0,278,0.76,length,2011
20141154,A263,1,Sheepshead,011,ELECTROFISHING,,,6-Oct-14,10,85,279,0,279,0.76,length,2014
20151089,A263,2,Sheepshead,011,ELECTROFISHING,,,7-Oct-15,10,114,280,0,280,0.77,length,2015
20071215,A263,2,Sheepshead,011,ELECTROFISHING,,,8-Oct-07,10,103,281,0,281,0.77,length,2007
20071215,A263,1,Sheepshead,011,ELECTROFISHING,,,8-Oct-07,10,108,281,0,281,0.77,length,2007
20071214,A263,1,Sheepshead,011,ELECTROFISHING,,,8-Oct-07,10,117,281,0,281,0.77,length,2007
20081188,A263,1,Sheepshead,011,ELECTROFISHING,,,9-Oct-08,10,123,283,0,283,0.78,length,2008
20081200,A263,1,Sheepshead,011,ELECTROFISHING,,,10-Oct-08,10,118,284,0,284,0.78,length,2008
19960967,A263,1,Sheepshead,098,TRAMMEL NET - 200 YD X 8 FT - 14 & 2.5 IN STR MESH,,,11-Oct-96,10,154,285,0,285,0.78,length,1996
19930444,A263,8,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,13-Oct-93,10,107,286,0,286,0.78,length,1993
19930444,A263,17,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,26,9,13-Oct-93,10,107,286,0,286,0.78,length,1993
19890070,A263,1,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,28,9,13-Oct-89,10,111,286,0,286,0.78,length,1989
19890070,A263,24,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,13-Oct-89,10,117,286,0,286,0.78,length,1989
19890070,A263,25,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,,9,13-Oct-89,10,142,286,0,286,0.78,length,1989
