YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,FL,STATE,AGE
2010,24,Sheepshead,6,24,4214,7,,502,553,,21,2,2,2,,201006244214007,356,1,307,20,R,BAY,,14,16,13,16,16,1994,1,1,1,,502,VA,16
2010,25,Sheepshead,7,6,2282,1,3.46,385,427,16.81,16,2,2,2,,201007062282001,356,1,307,142,C,BAY,,2,,2,,2,2008,1,,,1569.456,385,VA,2
2010,26,Sheepshead,7,6,2282,2,2.06,331,362,14.25,14,2,2,2,,201007062282002,356,1,307,142,C,BAY,,3,,3,,3,2007,1,,,934.416,331,VA,3
2010,27,Sheepshead,7,6,2282,3,1.84,318,342,13.46,13,2,2,2,,201007062282003,356,1,307,142,C,BAY,,3,3,3,3,3,2007,1,,1,834.624,318,VA,3
2010,28,Sheepshead,7,8,201,1,,536,595,23.43,23,2,,2,,201007080201001,356,1,306,20,R,BAY,,13,,13,,13,1997,1,,,,536,VA,13
2010,29,Sheepshead,7,8,201,2,,487,550,,21,2,3,2,,201007080201002,356,1,306,20,R,BAY,,14,,14,,14,1996,1,,,,487,VA,14
2010,30,Sheepshead,7,8,201,3,,462,519,20.43,20,2,,2,,201007080201003,356,1,306,20,R,BAY,,9,,9,,9,2001,1,,,,462,VA,9
2010,31,Sheepshead,7,8,201,4,,405,446,17.56,17,2,,2,,201007080201004,356,1,306,20,R,BAY,,4,4,4,4,4,2006,1,,1,,405,VA,4
2010,32,Sheepshead,7,10,200,1,,575,650,,25,2,,2,,201007080200001,356,1,306,20,R,BAY,,13,,13,,13,1997,1,,,,575,VA,13
2010,33,Sheepshead,7,10,200,2,,512,578,22.76,22,2,,2,,201007080200002,356,1,306,20,R,BAY,,13,,13,,13,1997,1,,,,512,VA,13
2010,34,Sheepshead,7,10,200,3,,526,585,23.03,23,2,,2,,201007080200003,356,1,306,20,R,BAY,,8,,8,,8,2002,1,,,,526,VA,8
2010,35,Sheepshead,7,10,200,4,,546,602,23.7,23,2,,2,,201007080200004,356,1,306,20,R,BAY,,8,,8,,8,2002,1,,,,546,VA,8
2010,36,Sheepshead,7,15,4233,1,,611,672,26.46,26,1,2,1,,201007224233001,356,1,307,20,R,BAY,,28,28,28,28,28,1982,1,,1,,611,VA,28
2010,37,Sheepshead,7,15,4233,2,,536,590,23.23,23,1,2,1,,201007224233002,356,1,307,20,R,BAY,,14,14,14,14,14,1996,1,,1,,536,VA,14
2010,38,Sheepshead,7,22,4242,1,5.25,421,563,18.23,18,1,2,1,,201007284242001,356,1,631,34,R,OCEAN,,13,,13,,13,1997,1,,,2381.4,421,VA,13
2010,39,Sheepshead,7,22,4242,2,4.25,367,395,15.55,15,2,2,2,,201007284242002,356,1,631,34,R,OCEAN,,,,,,,,,,,1927.8,367,VA,
2010,40,Sheepshead,7,22,4242,3,4,364,390,15.35,15,1,2,1,,201007284242003,356,1,631,34,R,OCEAN,,,,,,,,,,,1814.4,364,VA,
2010,41,Sheepshead,7,22,4242,4,3,326,351,13.82,13,3,,3,,201007284242004,356,1,631,34,R,OCEAN,,3,,3,,3,2007,1,,,1360.8,326,VA,3
2010,42,Sheepshead,7,27,4247,1,3.14,377,419,16.5,16,1,2,1,,201007274247001,356,1,307,142,C,BAY,,3,,3,,3,2007,1,,,1424.304,377,VA,3
2010,43,Sheepshead,7,31,4252,1,4.75,380,415,16.34,16,1,2,1,,201008034252001,356,6,631,34,R,OCEAN,,,,,,,,,,,2154.6,380,VA,
2010,44,Sheepshead,7,31,4252,2,3.75,363,397,15.63,15,1,2,1,,201008034252002,356,1,631,34,R,OCEAN,,4,4,4,4,4,2006,1,,1,1701,363,VA,4
2010,45,Sheepshead,8,4,4261,1,,460,505,19.88,19,1,2,1,,201008064261001,356,1,307,34,R,BAY,,4,4,4,4,4,2006,1,,1,,460,VA,4
2010,46,Sheepshead,8,4,4261,2,11.5,583,640,25.2,25,2,2,2,,201008064261002,356,1,307,34,R,BAY,,17,17,17,17,17,1993,1,,1,5216.4,583,VA,17
2010,47,Sheepshead,8,8,4265,1,,527,586,23.07,23,1,2,1,,201008104265001,356,1,307,20,R,BAY,,8,,8,,8,2002,1,,,,527,VA,8
2010,48,Sheepshead,8,12,4273,1,6,,535,21.06,21,1,2,1,,201008174273001,356,1,631,34,R,OCEAN,,,,,,,,,,,2721.6,,VA,
2010,49,Sheepshead,8,20,250,1,,367,404,15.91,15,2,5,2,"""Only one otolith""",201008200250001,356,1,307,20,R,BAY,,,,,,,,,,,,367,VA,
2010,50,Sheepshead,8,22,2404,1,5.5,443,495,19.49,19,2,2,2,,201009152404001,356,1,390,20,R,BAY,,3,,4,,4,2006,1,1,,2494.8,443,VA,4
2010,51,Sheepshead,8,30,253,1,9.05,529,583,22.95,22,2,4,2,,201008300253001,356,1,307,20,C,BAY,,9,,9,,9,2001,1,,,4105.08,529,VA,9
2010,52,Sheepshead,8,30,253,2,8.32,510,569,,22,1,4,1,,201008300253002,356,1,307,20,C,BAY,,18,18,18,18,18,1992,1,,1,3773.952,510,VA,18
2010,53,Sheepshead,8,30,253,3,10.09,518,575,22.64,22,1,4,1,,201008300253003,356,1,307,20,C,BAY,,13,13,14,13,13,1997,1,1,1,4576.824,518,VA,13
2010,54,Sheepshead,8,30,261,1,13,596,665,,26,2,4,2,"""Darryl Nemoth""",201008300261001,356,1,307,20,R,BAY,,27,25,26,24,20,1990,1,1,1,5896.8,596,VA,20
2010,55,Sheepshead,8,31,2385,1,10.83,576,633,24.92,24,2,5,2,,201008312385001,356,1,306,142,C,BAY,,18,18,18,18,18,1992,1,,1,4912.488,576,VA,18
2010,56,Sheepshead,8,31,2385,2,10.8,550,605,23.82,23,2,5,2,,201008312385002,356,1,306,142,C,BAY,,19,,18,,20,1990,1,1,,4898.88,550,VA,20
2010,57,Sheepshead,8,31,2386,1,9.89,550,617,24.29,24,1,4,1,,201008312386001,356,1,307,20,C,BAY,,19,20,20,22,22,1988,1,1,1,4486.104,550,VA,22
2010,58,Sheepshead,9,5,274,1,11.14,,,,,2,4,2,"""David Wood""",201009050274001,356,1,307,20,R,BAY,,27,27,27,27,27,1983,1,,1,5053.104,,VA,27
2010,59,Sheepshead,9,6,275,1,,611,683,,26,2,4,2,"""Mel Richardson""",201009060275001,356,1,307,20,R,BAY,,20,20,20,20,20,1990,1,,1,,611,VA,20
2010,60,Sheepshead,9,6,275,2,,400,430,16.93,16,2,2,2,"""Kenny Meyer""",201009060275002,356,1,307,20,R,BAY,,3,3,3,3,3,2007,1,,1,,400,VA,3
2010,61,Sheepshead,9,6,275,3,,504,560,,22,1,2,1,"""Kenny Meyer""",201009060275003,356,1,307,20,R,BAY,,13,,13,,13,1997,1,,,,504,VA,13
2010,62,Sheepshead,9,13,2406,1,9.09,530,585,23.03,23,2,2,2,,201009132406001,356,1,306,142,C,BAY,,13,,13,,13,1997,1,,,4123.224,530,VA,13
2010,63,Sheepshead,9,15,2403,1,8.6,515,576,22.68,22,1,2,1,,201009152403001,356,1,390,20,R,BAY,,8,7,7,8,8,2002,1,1,1,3900.96,515,VA,8
2010,64,Sheepshead,9,29,300,1,10.9,518,560,,22,2,,2,"""Scott Elford- Broken spine and messed up tail""",201009290300001,356,1,307,20,R,BAY,,16,,17,,16,1994,1,1,,4944.24,518,VA,16
2010,65,Sheepshead,9,29,300,2,11.5,516,561,22.09,22,3,,3,"""Barclay Sheppard""",201009290300002,356,1,307,20,R,BAY,,9,9,9,9,9,2001,1,,1,5216.4,516,VA,9
2010,66,Sheepshead,10,5,2433,1,,408,452,17.8,17,3,,3,,201010062433001,356,1,306,142,C,BAY,,3,,3,,3,2007,1,,,,408,VA,3
2010,67,Sheepshead,10,6,294,1,,455,505,19.88,19,1,,1,,201010060294001,356,1,307,20,R,BAY,,7,,7,,7,2003,1,,,,455,VA,7
2010,68,Sheepshead,10,6,294,2,11,560,615,24.21,24,2,4,2,,201010060294002,356,1,307,20,R,BAY,,27,,27,,27,1983,1,,,4989.6,560,VA,27
2010,69,Sheepshead,10,6,294,3,,513,558,,21,2,2,2,,201010060294003,356,1,307,20,R,BAY,,14,,14,,14,1996,1,,,,513,VA,14
2010,70,Sheepshead,10,6,294,4,10.1,533,580,,22,2,4,2,,201010060294004,356,1,307,20,R,BAY,,19,,16,,19,1991,1,1,,4581.36,533,VA,19
2010,71,Sheepshead,10,6,294,5,,442,489,19.25,19,2,2,2,,201010060294005,356,1,307,20,R,BAY,,5,,5,,5,2005,1,,,,442,VA,5
2010,72,Sheepshead,10,6,294,6,11.2,526,575,22.64,22,3,,3,,201010060294006,356,1,307,20,R,BAY,,14,,14,,14,1996,1,,,5080.32,526,VA,14
2010,73,Sheepshead,10,9,299,1,8.7,482,536,21.1,21,1,,1,"""Scott Elford""",201010090299001,356,1,307,20,R,BAY,,6,,6,,6,2004,1,,,3946.32,482,VA,6
2010,74,Sheepshead,10,9,299,2,10,498,541,21.3,21,1,,1,"""Spencer Elford""",201010090299002,356,1,307,20,R,BAY,,9,8,9,9,9,2001,1,,1,4536,498,VA,9
2010,75,Sheepshead,10,18,4299,1,,485,531,20.91,20,1,3,1,,201010224299001,356,1,307,20,R,BAY,,7,,7,,7,2003,1,,,,485,VA,7
2010,76,Sheepshead,10,26,2488,1,12.84,573,636,,25,2,3,2,,201010262488001,356,1,307,100,C,BAY,,12,12,12,12,12,1998,1,,1,5824.224,573,VA,12
2010,77,Sheepshead,10,26,4308,1,,535,580,22.83,22,1,2,1,,201011014308001,356,1,372,20,R,BAY,,,,,,,,,,,,535,VA,
