YEAR,AGID,SPNAME,Fish ID,Web ID,Old ID,County,Sectemp,Gear,Batch,Fish #,Type,Condition,MONTH,Day,Sacrifice Date,WEIGHT,GRAM,Wt from Angler?,SL (mm),SL (in),FORK,FL (in),TOTAL,TOTAL2,SIZE,Sample Wt,Fisherman,MorF,SEX,JVSEX,Assumed Sex,Stage,Water,AREA,Structures Collected,Gonads Harvested,Gonad Wt,Muscle Sample,Stomach collected,Scott Oto,Hank Oto,Joey 1st Oto,Joey 2nd Oto,Billy Oto,Joey MI,MI,Prev Inc,Final MI Age,Joey 1,Joey 2,Billy,OTOAGE,New Age,STATE,AGE,Hank Scale,Joey Scale,Billy Scale,Scale Age,Joey Spine,Hank Spine,Billy Spine,Spine Age,Site,Notes,Comments
2007,91,Sheepshead,AP7-091,D024,FI047,,,,,,R,1,,,,0.00976,4.427,FALSE,47,1.85,56.5,2.224,60,2.362,2,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,,,
2007,46,Sheepshead,AP7-046,FI015,FI015,,,,,,FI,1,9,5,9/5/2007,0.0095,4.307,FALSE,46,1.811,57,2.244,61,2.402,2,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,LES 23A,tow 5,
2007,47,Sheepshead,AP7-047,FI016,FI016,,,,,,FI,1,9,5,9/5/2007,0.0175,7.944,FALSE,56,2.205,64,2.52,68,2.677,2,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,210,Sheepshead,AP7-210,D037,D037,,,,,,R,1,,,,0.0152,6.89,FALSE,52,2.047,66,2.598,69,2.717,2,,Dave Griffith,JUV,0,2,2,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,88,Sheepshead,AP7-088,D022,FI045,,,,,,R,1,,,,0.0154,6.995,FALSE,53,2.087,68,2.677,71.5,2.815,2,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,89,Sheepshead,AP7-089,D023,FI046,,,,,,R,1,,,,0.0163,7.389,FALSE,54.5,2.146,70,2.756,73,2.874,2,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,92,Sheepshead,AP7-092,D025,FI048,,,,,,R,1,,,,0.0184,8.334,FALSE,58,2.283,68,2.677,73,2.874,2,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,,,
2007,43,Sheepshead,AP7-043,FI012,FI012,,,,,,FI,1,9,5,9/5/2007,0.0196,8.872,FALSE,57,2.244,71.5,2.815,75,2.953,2,,Stacy Beharry,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,tow 2,
2007,93,Sheepshead,AP7-093,D026,FI049,,,,,,R,1,,,,0.0212,9.596,FALSE,58,2.283,71,2.795,75,2.953,2,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,,,
2007,66,Sheepshead,AP7-066,FI023,FI023,,,,,,FI,1,9,5,9/5/2007,0.0214,9.704,FALSE,57,2.244,73,2.874,77,3.031,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"4, 5 or 6",
2007,82,Sheepshead,AP7-082,D016,FI039,,,,,,R,1,,,,0.0212,9.611,FALSE,59,2.323,74,2.913,78,3.071,3,,Dave Griffith,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,17,Sheepshead,AP7-017,FI018,FI018,,,,,,FI,1,9,5,9/5/2007,0.0237,10.77,FALSE,60,2.362,73,2.874,79,3.11,3,,Stacy Beharry,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5, or 6",
2007,76,Sheepshead,AP7-076,FI033,FI033,,,,,,FI,1,9,19,9/19/2007,0.029,13.15,FALSE,63.5,2.5,77,3.031,83,3.268,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,204,Sheepshead,AP7-204,D031,D031,,,,,,R,1,,,,0.0208,9.438,FALSE,64,2.52,77,3.031,84,3.307,3,,Dave Griffith,JUV,0,2,2,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,207,Sheepshead,AP7-207,D034,D034,,,,,,R,1,,,,0.0245,11.115,FALSE,64,2.52,77,3.031,84,3.307,3,,Dave Griffith,JUV,0,2,2,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,42,Sheepshead,AP7-042,FI011,FI011,,,,,,FI,1,9,5,9/5/2007,0.0285,12.944,FALSE,65,2.559,81.5,3.209,85,3.346,3,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,tow 2,
2007,68,Sheepshead,AP7-068,FI025,FI025,,,,,,FI,1,9,5,9/5/2007,0.0297,13.487,FALSE,66,2.598,81,3.189,85,3.346,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,87,Sheepshead,AP7-087,D021,FI044,,,,,,R,1,,,,0.0278,12.627,FALSE,64.5,2.539,81,3.189,85,3.346,3,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,189,Sheepshead,AP7-189,FI049,FI063,,,,,,FI,1,10,31,10/31/2007,0.0265,12.01,FALSE,66,2.598,81,3.189,85,3.346,3,,Stacy Beharry,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,MES 24,,
2007,209,Sheepshead,AP7-209,D036,D036,,,,,,R,1,,,,0.0377,17.1,FALSE,73,2.874,89,3.504,85,3.346,3,,Dave Griffith,JUV,0,1,1,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,212,Sheepshead,AP7-212,D039,D039,,,,,,R,1,,,,0.0258,11.692,FALSE,65,2.559,79,3.11,85,3.3464,3,,Dave Griffith,JUV,0,2,1,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,81,Sheepshead,AP7-081,D015,FI038,,,,,,R,1,,,,0.0346,15.71,FALSE,66,2.598,84,3.307,87,3.425,3,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,18,Sheepshead,AP7-018,FI019,FI019,,,,,,FI,2,9,5,9/5/2007,0.0343,15.575,FALSE,65,2.559,82.5,3.248,87.5,3.445,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,,,
2007,63,Sheepshead,AP7-063,FI020,FI020,,,,,,FI,2,9,5,9/5/2007,0.035,15.889,FALSE,67,2.638,83.5,3.287,88,3.465,3,,Stacy Beharry,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,191,Sheepshead,AP7-191,FI051,FI065,,,,,,FI,1,10,31,10/31/2007,0.0284,12.894,FALSE,67,2.638,83,3.268,88,3.465,3,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,MES 24,,
2007,203,Sheepshead,AP7-203,D030,D030,,,,,,R,1,,,,0.028,12.683,FALSE,70,2.756,85,3.346,88,3.465,3,,Dave Griffith,JUV,0,1,2,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,64,Sheepshead,AP7-064,FI021,FI021,,,,,,FI,2,9,5,9/5/2007,0.0402,18.213,FALSE,68,2.677,85.5,3.366,90,3.543,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,180,Sheepshead,AP7-180,FI040,FI054,,,,,,FI,1,10,31,10/31/2007,0.0302,13.693,FALSE,68,2.677,85,3.346,90,3.543,3,,Stacy Beharry,JUV,0,2,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 23A,,
2007,201,Sheepshead,AP7-201,D028,D028,,,,,,R,1,,,,0.0288,13.071,FALSE,71,2.795,87,3.425,90,3.543,3,,Dave Griffith,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,202,Sheepshead,AP7-202,D029,D029,,,,,,R,1,,,,0.0317,14.361,FALSE,66,2.598,86,3.386,91,3.583,3,,Dave Griffith,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,71,Sheepshead,AP7-071,FI028,FI028,,,,,,FI,1,9,19,9/19/2007,0.0405,18.37,FALSE,72,2.835,88,3.465,93,3.661,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,205,Sheepshead,AP7-205,D032,D032,,,,,,R,1,,,,0.033,14.991,FALSE,72,2.835,91,3.583,94,3.701,3,,Dave Griffith,JUV,0,2,1,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,206,Sheepshead,AP7-206,D033,D033,,,,,,R,1,,,,0.035,15.857,FALSE,71,2.795,90,3.543,94,3.701,3,,Dave Griffith,JUV,0,2,1,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,65,Sheepshead,AP7-065,FI022,FI022,,,,,,FI,2,9,5,9/5/2007,0.0404,18.333,FALSE,72,2.835,88.5,3.484,95,3.74,3,,Stacy Beharry,JUV,0,1,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,134,Sheepshead,AP7-134,C038,C038,51,,20,221,3,R,1,10,18,10/16/2007,0.043,19.504,FALSE,71,2.795,89,3.504,95,3.74,3,,Al Bunnell,JUV,0,2,1,0,307,BAY,1,FALSE,,FALSE,FALSE,,0,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.383561644,VA,0,,,,,,,,,,"No muscle tissue, scales, stomachs, spines from most","Muscle tissue from some fish, but not ashed vials."
2007,186,Sheepshead,AP7-186,FI046,FI060,,,,,,FI,1,10,31,10/31/2007,0.0436,19.795,FALSE,72,2.835,87,3.425,95,3.74,3,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 22,,
2007,73,Sheepshead,AP7-073,FI030,FI030,,,,,,FI,1,9,19,9/19/2007,0.0466,21.145,FALSE,74,2.913,91,3.583,95.5,3.76,3,,Stacy Beharry,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,77,Sheepshead,AP7-077,FI034,FI034,,,,,,FI,1,9,19,9/19/2007,0.0409,18.539,FALSE,73,2.874,89,3.504,95.5,3.76,3,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,80,Sheepshead,AP7-080,D014,FI037,,,,,,R,1,,,,0.0373,16.915,FALSE,72,2.835,91,3.583,96,3.78,3,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,216,Sheepshead,AP7-216,D043,D043,,,,,,R,1,,,,0.0385,17.472,FALSE,72,2.835,91,3.583,96,3.78,3,,Dave Griffith,JUV,0,2,2,0,,,1,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,67,Sheepshead,AP7-067,FI024,FI024,,,,,,FI,1,9,5,9/5/2007,0.0524,23.764,FALSE,77,3.031,91,3.583,97.5,3.839,3,,Stacy Beharry,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"tow 4, 5 or 6",
2007,45,Sheepshead,AP7-045,FI014,FI014,,,,,,FI,1,9,5,9/5/2007,0.0464,21.064,FALSE,75,2.953,94,3.701,98,3.858,3,,Stacy Beharry,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,MES 24,
2007,179,Sheepshead,AP7-179,FI039,FI053,,,,,,FI,1,10,31,10/31/2007,0.0431,19.531,FALSE,78,3.071,91,3.583,98,3.858,3,,Stacy Beharry,JUV,0,2,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 23A,,
2007,193,Sheepshead,AP7-193,FI053,FI067,,,,,,FI,1,10,31,10/31/2007,0.0427,19.366,FALSE,76,2.992,94,3.701,100,3.937,3,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,MES 24,,
2007,78,Sheepshead,AP7-078,FI035,FI035,,,,,,FI,1,9,19,9/19/2007,0.0511,23.181,FALSE,78,3.071,93.5,3.681,101,3.976,3,,Stacy Beharry,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,184,Sheepshead,AP7-184,FI044,FI058,,,,,,FI,1,10,31,10/31/2007,0.0442,20.068,FALSE,76,2.992,93,3.661,101,3.976,3,,Stacy Beharry,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 22,,
2007,213,Sheepshead,AP7-213,D040,D040,,,,,,R,1,,,,0.0455,20.641,FALSE,76,2.992,96,3.78,102,4.016,4,,Dave Griffith,JUV,0,2,2,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,75,Sheepshead,AP7-075,FI032,FI032,,,,,,FI,1,9,19,9/19/2007,0.0523,23.717,FALSE,78,3.071,97,3.819,102.5,4.035,4,,Stacy Beharry,JUV,0,1,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,44,Sheepshead,AP7-044,FI013,FI013,,,,,,FI,1,9,5,9/5/2007,0.0534,24.24,FALSE,85.5,3.366,98,3.858,103,4.055,4,,Stacy Beharry,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,tow 1,
2007,70,Sheepshead,AP7-070,FI027,FI027,,,,,,FI,1,9,5,9/5/2007,0.0582,26.381,FALSE,78,3.071,97,3.819,104,4.094,4,,Stacy Beharry,JUV,0,1,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.265753425,VA,0,,,,,,,,,MES 24,"4, 5 or 6",
2007,84,Sheepshead,AP7-084,D018,FI041,,,,,,R,1,,,,0.0538,24.387,FALSE,81,3.189,99,3.898,105,4.134,4,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,211,Sheepshead,AP7-211,D038,D038,,,,,,R,1,,,,0.0578,26.207,FALSE,81,3.189,102,4.016,107,4.213,4,,Dave Griffith,JUV,0,2,1,0,,,1,FALSE,,TRUE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,74,Sheepshead,AP7-074,FI031,FI031,,,,,,FI,1,9,19,9/19/2007,0.0645,29.258,FALSE,87,3.425,102.5,4.035,108.5,4.272,4,,Stacy Beharry,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,195,Sheepshead,AP7-195,FI055,FI069,,,,,,FI,1,10,31,10/31/2007,0.0569,25.792,FALSE,82,3.228,103,4.055,109,4.291,4,,Stacy Beharry,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,MES 24,,
2007,85,Sheepshead,AP7-085,D019,FI042,,,,,,R,1,,,,0.0699,31.714,FALSE,85,3.346,,,111,4.37,4,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,72,Sheepshead,AP7-072,FI029,FI029,,,,,,FI,1,9,19,9/19/2007,0.0746,33.847,FALSE,83,3.268,105,4.134,112,4.409,4,,Stacy Beharry,JUV,0,1,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,MES 24,,
2007,94,Sheepshead,AP7-094,D027,FI050,,,,,,R,1,,,,0.0678,30.738,FALSE,85,3.346,108,4.252,115,4.528,4,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,,,
2007,187,Sheepshead,AP7-187,FI047,FI061,,,,,,FI,1,10,31,10/31/2007,0.0794,36.022,FALSE,85,3.346,106,4.173,115,4.528,4,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 22,,
2007,95,Sheepshead,AP7-095,FI037,FI051,,,,,,FI,1,10,5,10/5/2007,0.0839,38.043,FALSE,87,3.425,112,4.409,116,4.567,4,,Stacy Beharry,JUV,0,2,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.347945205,VA,0,,,,,,,,,RAYO 12,,
2007,86,Sheepshead,AP7-086,D020,FI043,,,,,,R,1,,,,0.0755,34.259,FALSE,90,3.543,114,4.488,119,4.685,4,,Dave Griffith,JUV,0,2,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,79,Sheepshead,AP7-079,FI036,FI036,,,,,,FI,1,9,19,9/19/2007,0.101,45.959,FALSE,93,3.661,114,4.488,121,4.764,4,,Jason Schaffler,JUV,0,1,1,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.304109589,VA,0,,,,,,,,,YOJA 18,,
2007,188,Sheepshead,AP7-188,FI048,FI062,,,,,,FI,1,10,31,10/31/2007,0.0841,38.164,FALSE,91,3.583,112,4.409,121,4.764,4,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,LES 22,,
2007,83,Sheepshead,AP7-083,D017,FI040,,,,,,R,1,,,,0.0773,35.043,FALSE,92,3.622,115,4.528,122,4.803,4,,Dave Griffith,JUV,0,1,2,0,,,,FALSE,,FALSE,FALSE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,,VA,0,,,,,,,,,Plantation Creek,,
2007,194,Sheepshead,AP7-194,FI054,FI068,,,,,,FI,1,10,31,10/31/2007,0.0877,39.766,FALSE,93,3.661,116,4.567,123,4.843,4,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.419178082,VA,0,,,,,,,,,MES 24,,
