YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,SEX,STAGE,JVSEX,COMMENT,TOTAL2,SIZE,FISHID,GROUPNUM,STRUC,WATER,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,difference,OTOAGED,JBFISHID,selection.50,GRAM,FL,STATE,AGE
2008,47,Sheepshead,7,8,329,2,,433,474,1,2,1,,18.661,18,2008070800003290002,356,1,307,R,BAY,,7,7,6,7,7,2001,1,1,AP8-043,1,,433,VA,7
2008,48,Sheepshead,7,8,329,3,,470,505,1,2,1,,19.882,19,2008070800003290003,356,1,307,R,BAY,,5,5,5,,5,2003,,1,AP8-044,,,470,VA,5
2008,49,Sheepshead,7,8,329,4,,343,354,1,1,1,,13.937,13,2008070800003290004,356,1,307,R,BAY,,3,3,3,,3,2005,,1,AP8-045,,,343,VA,3
2008,50,Sheepshead,7,8,329,5,,412,446,1,2,1,,17.559,17,2008070800003290005,356,1,307,R,BAY,,3,3,3,,3,2005,,1,AP8-046,,,412,VA,3
2008,51,Sheepshead,7,8,329,6,,537,579,2,5,2,,22.795,22,2008070800003290006,356,1,307,R,BAY,,16,16,16,,16,1992,,1,AP8-047,,,537,VA,16
2008,52,Sheepshead,7,20,194,51,,538,584,1,1,1,NICK SANTOAY,22.992,22,2008072000001940051,356,2,307,R,BAY,,9,9,9,,9,1999,,1,AP8-057,,,538,VA,9
2008,53,Sheepshead,7,20,194,52,12.375,590,647,2,3,2,DAVID OSWALD,25.472,25,2008072000001940052,356,2,307,R,BAY,,18,17,18,,18,1990,,1,AP8-052,,5613.3,590,VA,18
2008,54,Sheepshead,7,20,194,53,,531,569,1,2,1,,22.402,22,2008072000001940053,356,2,307,R,BAY,,6,6,7,8,6,2002,1,1,AP8-053,1,,531,VA,6
2008,55,Sheepshead,7,20,194,54,,434,465,1,1,1,,18.307,18,2008072000001940054,356,2,307,R,BAY,,5,5,5,,5,2003,,1,AP8-054,,,434,VA,5
2008,56,Sheepshead,7,20,194,55,,535,573,1,1,1,,,22,2008072000001940055,356,2,307,R,BAY,,17,17,16,,17,1991,1,1,AP8-055,,,535,VA,17
2008,57,Sheepshead,7,20,194,56,10.125,562,605,2,3,2,KAY ALLEY,23.819,23,2008072000001940056,356,2,307,R,BAY,,10,10,10,,10,1998,,1,AP8-056,,4592.7,562,VA,10
2008,58,Sheepshead,7,26,7083,1,,520,570,1,3,1,,22.441,22,2008072606070830001,356,1,307,R,BAY,,12,12,12,,12,1996,,1,AP8-062,,,520,VA,12
2008,59,Sheepshead,7,26,7083,2,,490,530,1,3,1,,20.866,20,2008072606070830002,356,1,307,R,BAY,,7,7,7,7,7,2001,,1,AP8-063,1,,490,VA,7
2008,60,Sheepshead,8,4,195,58,,420,461,1,1,1,"NO MUSCLE ,STOMACH,OR GONAD",18.15,18,2008080400001950058,356,2,307,R,BAY,,7,7,7,7,7,2001,,1,AP8-058,1,,420,VA,7
2008,61,Sheepshead,8,4,195,59,,493,527,2,3,2,GOT GONAD,20.748,20,2008080400001950059,356,2,307,R,BAY,,7,7,7,,7,2001,,1,AP8-059,,,493,VA,7
2008,62,Sheepshead,8,4,195,60,,505,545,2,3,2,NO GONADS,21.457,21,2008080400001950060,356,2,307,R,BAY,,11,11,11,,11,1997,,1,AP8-060,,,505,VA,11
2008,63,Sheepshead,8,4,195,61,11,571,625,2,3,2,2ND ISLAND -POPE HAETINE (034),24.606,24,2008080400001950061,356,2,307,R,BAY,,14,14,14,,14,1994,,1,AP8-061,,4989.6,571,VA,14
2008,64,Sheepshead,8,5,5279,1,0,487.5,540,1,3,1,,21.26,21,2008080505052790001,356,1,306,R,BAY,,10,10,10,,10,1998,,1,AP8-079,,0,487.5,VA,10
2008,65,Sheepshead,8,11,198,1,,366,403,1,1,1,LC001,15.866,15,2008081100001980001,356,2,307,S,BAY,,4,4,5,,4,2004,1,1,AP8-064,,,366,VA,4
2008,66,Sheepshead,8,11,198,2,,425,463,1,1,1,LC002,18.228,18,2008081100001980002,356,2,307,S,BAY,,4,4,4,,4,2004,,1,AP8-065,,,425,VA,4
2008,67,Sheepshead,8,11,198,3,,451,475,2,2,2,LC003,18.701,18,2008081100001980003,356,2,307,S,BAY,,5,5,4,,5,2003,1,1,AP8-066,,,451,VA,5
2008,68,Sheepshead,8,11,198,4,,457,491,1,1,1,LC004,,19,2008081100001980004,356,2,307,S,BAY,,10,10,9,,10,1998,1,1,AP8-067,,,457,VA,10
2008,69,Sheepshead,8,13,204,1,,518,560,1,2,1,68,22.047,22,2008081300002040001,356,2,307,R,BAY,,11,11,11,,11,1997,,1,AP8-068,,,518,VA,11
2008,70,Sheepshead,8,13,204,2,,533,583,1,2,1,69,22.953,22,2008081300002040002,356,2,307,R,BAY,,16,16,16,16,16,1992,,1,AP8-069,1,,533,VA,16
2008,71,Sheepshead,8,13,204,3,,493,549,1,2,1,70,21.614,21,2008081300002040003,356,2,307,R,BAY,,7,7,7,,7,2001,,1,AP8-070,,,493,VA,7
2008,72,Sheepshead,8,13,204,4,,499,550,2,3,2,71,21.654,21,2008081300002040004,356,2,307,R,BAY,,7,7,7,,7,2001,,1,AP8-071,,,499,VA,7
2008,73,Sheepshead,8,13,205,1,0.688,212,234,0,0,2,,9.213,9,2008081300002050001,356,2,371,R,BAY,,1,1,1,,1,2007,,1,AP8-072,,312.0768,212,VA,1
2008,74,Sheepshead,8,13,205,2,0.648,208,230,0,0,2,,9.055,9,2008081300002050002,356,2,371,R,BAY,,1,1,1,,1,2007,,1,AP8-073,,293.9328,208,VA,1
2008,75,Sheepshead,8,15,5356,1,7.4,500,550,1,3,1,,21.654,21,2008081505053560001,356,1,390,S,BAY,,7,7,6,,7,2001,1,1,AP8-080,,3356.64,500,VA,7
2008,76,Sheepshead,8,16,330,1,,572,612,2,2,2,,24.094,24,2008081600003300001,356,1,307,R,BAY,,11,11,11,,11,1997,,1,AP8-074,,,572,VA,11
2008,77,Sheepshead,8,16,330,2,,527,592,2,2,2,,23.307,23,2008081600003300002,356,1,307,R,BAY,,7,7,8,,7,2001,1,1,AP8-075,,,527,VA,7
2008,78,Sheepshead,8,16,330,3,,545,600,2,2,2,,23.622,23,2008081600003300003,356,1,307,R,BAY,,10,10,10,,10,1998,,1,AP8-076,,,545,VA,10
2008,79,Sheepshead,8,23,7143,1,11.4,555,610,2,2,2,,24.016,24,2008082306071430001,356,1,307,R,BAY,,35,35,34,,35,1973,1,1,AP8-081,,5171.04,555,VA,35
2008,80,Sheepshead,8,24,331,1,6.71,483,528,1,1,1,,20.787,20,2008082400003310001,356,1,307,R,BAY,,7,7,7,,7,2001,,1,AP8-077,,3043.656,483,VA,7
2008,81,Sheepshead,8,26,212,1,0.47,193,210,0,0,1,,8.268,8,2008082600002120001,356,2,306,C,BAY,,2,1,1,1,1,2007,1,1,AP8-078,1,213.192,193,VA,1
2008,82,Sheepshead,9,14,332,1,,276,292,3,0,3,,11.496,11,2008091400003320001,356,1,307,R,BAY,,3,3,2,,3,2005,1,1,AP8-082,,,276,VA,3
2008,83,Sheepshead,10,17,266,1,1.439,286,310,0,0,2,,12.205,12,2008101700002660001,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-083,1,652.7304,286,VA,1
2008,84,Sheepshead,10,17,266,2,1.184,263,279,0,0,1,,10.984,10,2008101700002660002,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-084,1,537.0624,263,VA,1
2008,85,Sheepshead,10,17,266,3,0.879,244,267,0,0,1,,10.512,10,2008101700002660003,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-085,1,398.7144,244,VA,1
2008,86,Sheepshead,10,21,273,1,0.93,240,266,2,1,2,,10.472,10,2008102100002730001,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-108,,421.848,240,VA,1
2008,87,Sheepshead,10,21,273,2,0.666,230,251,0,0,2,,9.882,9,2008102100002730002,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-109,1,302.0976,230,VA,1
2008,88,Sheepshead,10,21,273,3,1.05,256,282,0,0,1,,11.102,11,2008102100002730003,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-110,,476.28,256,VA,1
2008,89,Sheepshead,10,21,273,4,0.777,232,252,2,1,2,,9.921,9,2008102100002730004,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-111,,352.4472,232,VA,1
2008,90,Sheepshead,10,21,273,5,1.005,247,275,0,0,2,,10.827,10,2008102100002730005,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-112,,455.868,247,VA,1
2008,91,Sheepshead,10,21,273,6,0.841,242,266,0,0,2,,10.472,10,2008102100002730006,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-113,,381.4776,242,VA,1
2008,92,Sheepshead,10,21,273,7,0.816,236,258,0,0,2,,10.157,10,2008102100002730007,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-114,,370.1376,236,VA,1
2008,93,Sheepshead,10,21,273,8,1.036,243,262,1,1,1,,10.315,10,2008102100002730008,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-115,1,469.9296,243,VA,1
2008,94,Sheepshead,10,21,273,9,0.991,243,270,1,1,1,,10.63,10,2008102100002730009,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-116,,449.5176,243,VA,1
2008,95,Sheepshead,10,21,273,10,1.02,252,273,2,1,2,,10.748,10,2008102100002730010,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-117,1,462.672,252,VA,1
2008,96,Sheepshead,10,21,273,11,0.989,243,264,0,0,2,,10.394,10,2008102100002730011,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-118,,448.6104,243,VA,1
2008,97,Sheepshead,10,21,273,12,0.98,251,281,1,1,1,,11.063,11,2008102100002730012,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-119,,444.528,251,VA,1
2008,98,Sheepshead,10,21,273,13,0.919,245,264,2,1,2,,10.394,10,2008102100002730013,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-120,1,416.8584,245,VA,1
2008,99,Sheepshead,10,21,273,14,0.902,243,263,2,1,2,,10.354,10,2008102100002730014,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-121,,409.1472,243,VA,1
2008,100,Sheepshead,10,21,273,15,0.75,225,248,0,0,1,,9.764,9,2008102100002730015,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-122,1,340.2,225,VA,1
2008,101,Sheepshead,10,21,273,16,1.066,242,271,2,1,2,,10.669,10,2008102100002730016,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-123,,483.5376,242,VA,1
2008,102,Sheepshead,10,21,273,17,0.737,233,248,2,1,2,,9.764,9,2008102100002730017,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-124,,334.3032,233,VA,1
2008,103,Sheepshead,10,21,273,18,1.173,256,282,1,1,1,,11.102,11,2008102100002730018,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-125,1,532.0728,256,VA,1
2008,104,Sheepshead,10,21,273,19,0.884,238,262,0,0,2,,10.315,10,2008102100002730019,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-126,1,400.9824,238,VA,1
2008,105,Sheepshead,10,21,273,20,0.796,233,259,2,1,2,,10.197,10,2008102100002730020,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-127,1,361.0656,233,VA,1
2008,106,Sheepshead,10,21,273,21,1.092,254,279,2,1,2,,10.984,10,2008102100002730021,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-128,,495.3312,254,VA,1
2008,107,Sheepshead,10,21,273,22,0.751,231,256,0,0,1,,10.079,10,2008102100002730022,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-129,,340.6536,231,VA,1
2008,108,Sheepshead,10,21,273,23,1.471,284,310,1,1,1,,12.205,12,2008102100002730023,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-130,,667.2456,284,VA,1
2008,109,Sheepshead,10,21,273,24,0.671,224,241,0,0,2,,9.488,9,2008102100002730024,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-131,,304.3656,224,VA,1
2008,110,Sheepshead,10,21,273,25,1.603,290,320,2,1,2,,12.598,12,2008102100002730025,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-132,,727.1208,290,VA,1
2008,111,Sheepshead,10,21,273,26,0.822,236,256,2,1,2,,10.079,10,2008102100002730026,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-133,1,372.8592,236,VA,1
2008,112,Sheepshead,10,21,273,27,1.091,258,281,2,1,2,,11.063,11,2008102100002730027,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-134,,494.8776,258,VA,1
2008,113,Sheepshead,10,21,273,28,0.635,214,233,0,0,2,,9.173,9,2008102100002730028,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-135,,288.036,214,VA,1
2008,114,Sheepshead,10,21,273,29,0.523,202,222,0,0,2,,8.74,8,2008102100002730029,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-136,,237.2328,202,VA,1
2008,115,Sheepshead,10,21,273,30,1.686,308,338,0,0,1,,13.307,13,2008102100002730030,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-137,,764.7696,308,VA,1
2008,116,Sheepshead,10,21,273,31,0.859,243,264,0,0,2,,10.394,10,2008102100002730031,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-138,,389.6424,243,VA,1
2008,117,Sheepshead,10,21,273,32,0.971,242,267,0,0,2,,10.512,10,2008102100002730032,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-139,,440.4456,242,VA,1
2008,118,Sheepshead,10,21,273,33,0.643,210,236,1,1,1,,9.291,9,2008102100002730033,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-140,,291.6648,210,VA,1
2008,119,Sheepshead,10,21,273,34,1.12,262,284,2,1,2,,11.181,11,2008102100002730034,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-141,,508.032,262,VA,1
2008,120,Sheepshead,10,21,273,35,0.626,217,237,0,0,2,,9.331,9,2008102100002730035,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-142,,283.9536,217,VA,1
2008,121,Sheepshead,10,21,273,36,0.852,234,254,0,0,2,,10,10,2008102100002730036,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-143,,386.4672,234,VA,1
2008,122,Sheepshead,10,21,273,37,1.005,244,266,2,1,2,,10.472,10,2008102100002730037,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-144,,455.868,244,VA,1
2008,123,Sheepshead,10,21,273,38,0.865,239,261,0,0,2,,10.276,10,2008102100002730038,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-145,,392.364,239,VA,1
2008,124,Sheepshead,10,21,273,39,0.977,247,271,1,1,1,,10.669,10,2008102100002730039,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-146,1,443.1672,247,VA,1
2008,125,Sheepshead,10,21,273,40,0.933,243,259,0,0,1,,10.197,10,2008102100002730040,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-147,,423.2088,243,VA,1
2008,126,Sheepshead,10,21,273,41,0.586,208,230,1,1,1,,9.055,9,2008102100002730041,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-148,1,265.8096,208,VA,1
2008,127,Sheepshead,10,21,273,42,0.708,225,245,2,1,2,,9.646,9,2008102100002730042,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-149,,321.1488,225,VA,1
2008,128,Sheepshead,10,21,273,43,1.196,260,287,1,1,1,,11.299,11,2008102100002730043,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-150,,542.5056,260,VA,1
2008,129,Sheepshead,10,21,273,44,0.925,243,264,2,1,2,,10.394,10,2008102100002730044,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-151,,419.58,243,VA,1
2008,130,Sheepshead,10,21,273,45,0.978,250,270,2,1,2,,10.984,10,2008102100002730045,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-152,,443.6208,250,VA,1
2008,131,Sheepshead,10,21,273,46,0.759,236,258,2,1,2,,10.157,10,2008102100002730046,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-153,,344.2824,236,VA,1
2008,132,Sheepshead,10,21,273,47,1.164,258,284,2,1,2,,11.181,11,2008102100002730047,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-154,,527.9904,258,VA,1
2008,133,Sheepshead,10,21,273,48,1.104,261,281,2,1,2,,11.063,11,2008102100002730048,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-155,1,500.7744,261,VA,1
2008,134,Sheepshead,10,21,273,49,0.879,236,260,2,1,2,,10.236,10,2008102100002730049,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-156,1,398.7144,236,VA,1
2008,135,Sheepshead,10,21,273,50,0.847,231,258,0,0,2,,10.157,10,2008102100002730050,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-157,1,384.1992,231,VA,1
2008,136,Sheepshead,10,21,274,1,1.377,288,308,0,0,2,,12.126,12,2008102100002740001,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-086,,624.6072,288,VA,1
2008,137,Sheepshead,10,21,274,2,0.832,244,266,2,1,2,,10.472,10,2008102100002740002,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-087,,377.3952,244,VA,1
2008,138,Sheepshead,10,21,274,3,0.754,234,255,0,0,2,,10.039,10,2008102100002740003,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-088,1,342.0144,234,VA,1
2008,139,Sheepshead,10,21,274,4,0.998,251,273,0,0,1,,10.748,10,2008102100002740004,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-089,,452.6928,251,VA,1
2008,140,Sheepshead,10,21,274,5,1.186,260,288,2,1,2,,11.339,11,2008102100002740005,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-090,,537.9696,260,VA,1
2008,141,Sheepshead,10,21,274,6,1.22,271,291,2,1,2,,11.457,11,2008102100002740006,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-091,,553.392,271,VA,1
2008,142,Sheepshead,10,21,274,7,1.263,275,296,2,1,2,,11.654,11,2008102100002740007,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-092,,572.8968,275,VA,1
