YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,FL,STATE,AGE
2009,11,Sheepshead,5,20,126,8,1.228,285,312,12.28,12,2,1,2,,2009052000001260008,356,2,306,142,C,BAY,1,3,,3,,3,2006,1,,,557.0208,285,VA,3
2009,12,Sheepshead,5,20,127,1,1.423,305,328,12.91,12,2,1,2,,2009052000001270001,356,2,306,142,C,BAY,1,3,3,3,3,3,2006,1,,1,645.4728,305,VA,3
2009,13,Sheepshead,6,3,140,1,1.266,290,315,12.40,12,2,2,2,,2009060300001400001,356,1,307,142,C,BAY,1,4,4,4,4,4,2005,1,,1,574.2576,290,VA,4
2009,14,Sheepshead,6,3,140,2,2.297,346,380,14.96,14,2,2,2,,2009060300001400002,356,1,307,142,C,BAY,1,5,4,4,4,4,2005,1,1,1,1041.9192,346,VA,4
2009,15,Sheepshead,6,3,140,3,0.920,253,276,10.87,10,3,,3,,2009060300001400003,356,1,307,142,C,BAY,1,2,2,2,2,2,2007,1,,1,417.312,253,VA,2
2009,16,Sheepshead,6,3,140,4,0.950,264,283,11.14,11,3,,3,,2009060300001400004,356,1,307,142,C,BAY,1,2,2,2,2,2,2007,1,,1,430.92,264,VA,2
2009,17,Sheepshead,6,3,140,5,2.048,333,361,14.21,14,1,1,1,,2009060300001400005,356,1,307,142,C,BAY,1,3,,3,,3,2006,1,,,928.9728,333,VA,3
2009,18,Sheepshead,6,3,140,6,1.353,297,322,12.68,12,2,2,2,,2009060300001400006,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,613.7208,297,VA,3
2009,19,Sheepshead,6,7,144,1,,542,601,23.66,23,2,3,2,,2009060700001440001,356,1,307,20,R,BAY,1,15,15,14,14,14,1995,1,1,1,,542,VA,14
2009,20,Sheepshead,6,7,144,2,8.744,534,588,23.15,23,2,3,2,,2009060700001440002,356,1,307,20,R,BAY,1,12,12,14,12,13,1996,1,1,1,3966.2784,534,VA,13
2009,21,Sheepshead,6,7,144,3,,519,574,22.60,22,2,3,2,,2009060700001440003,356,1,307,20,R,BAY,1,11,11,11,12,11,1998,1,,1,,519,VA,11
2009,22,Sheepshead,6,10,150,1,2.646,372,404,15.91,15,2,3,2,,2009061000001500001,356,2,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1200.2256,372,VA,3
2009,23,Sheepshead,6,11,149,1,0.676,238,260,10.24,10,3,,3,,2009061100001490001,356,2,307,142,C,BAY,1,2,,2,,2,2007,1,,,306.6336,238,VA,2
2009,24,Sheepshead,6,13,153,1,,589,651,,25,2,3,2,,2009061300001530001,356,1,306,34,R,BAY,1,17,17,17,17,17,1992,1,,1,,589,VA,17
2009,25,Sheepshead,6,13,153,2,,527,572,22.52,22,1,2,1,,2009061300001530002,356,1,306,34,R,BAY,1,8,,8,,8,2001,1,,,,527,VA,8
2009,26,Sheepshead,6,13,153,3,,503,550,21.65,21,2,2,2,,2009061300001530003,356,1,306,34,R,BAY,1,8,8,8,8,8,2001,1,,1,,503,VA,8
2009,27,Sheepshead,6,13,153,4,11.500,574,632,24.88,24,2,3,2,,2009061300001530004,356,1,306,34,R,BAY,1,23,23,23,23,23,1986,1,,1,5216.4,574,VA,23
2009,28,Sheepshead,6,13,153,5,,574,624,24.57,24,1,2,1,,2009061300001530005,356,1,306,34,R,BAY,1,18,18,18,18,18,1991,1,,1,,574,VA,18
2009,29,Sheepshead,6,13,153,6,,552,607,23.90,23,2,3,2,,2009061300001530006,356,1,306,34,R,BAY,1,14,14,14,14,14,1995,1,,1,,552,VA,14
2009,30,Sheepshead,6,13,153,7,,560,623,24.53,24,2,3,2,,2009061300001530007,356,1,306,34,R,BAY,1,12,12,11,12,12,1997,1,1,1,,560,VA,12
2009,31,Sheepshead,6,13,153,8,11.500,557,620,24.41,24,1,2,1,,2009061300001530008,356,1,306,34,R,BAY,1,21,,21,,21,1988,1,,,5216.4,557,VA,21
2009,32,Sheepshead,6,16,156,1,0.964,257,279,10.98,10,3,,3,,2009061600001560001,356,1,307,142,C,BAY,1,2,2,2,12,2,2007,1,,1,437.2704,257,VA,2
2009,33,Sheepshead,6,18,160,1,11.750,590,640,,25,2,3,2,,2009061800001600001,356,2,306,20,R,BAY,1,12,,12,,12,1997,1,,,5329.8,590,VA,12
2009,34,Sheepshead,7,2,178,1,,527,568,,22,3,,3,No Gonads gutted,2009070200001780001,356,2,306,20,R,BAY,1,15,14,15,14,15,1994,1,,1,,527,VA,15
2009,35,Sheepshead,7,2,178,2,,536,586,23.07,23,3,,3,No gonads gutted,2009070200001780002,356,2,306,20,R,BAY,1,23,19,21,22,19,1990,1,1,1,,536,VA,19
2009,36,Sheepshead,7,2,178,3,,515,565,,22,3,,3,No Gonads gutted,2009070200001780003,356,2,306,20,R,BAY,1,22,,22,,22,1987,1,,,,515,VA,22
2009,37,Sheepshead,7,3,177,1,,583,650,,25,1,1,1,Fillets,2009070300001770001,356,2,306,34,R,BAY,1,11,,11,,11,1998,1,,,,583,VA,11
2009,38,Sheepshead,7,3,177,2,,533,586,23.07,23,2,5,2,,2009070300001770002,356,2,306,34,R,BAY,1,18,19,19,19,19,1990,1,1,1,,533,VA,19
2009,39,Sheepshead,7,3,177,3,,553,614,24.17,24,1,1,1,,2009070300001770003,356,2,306,34,R,BAY,1,11,11,11,11,11,1998,1,,1,,553,VA,11
2009,40,Sheepshead,7,3,177,4,,402,431,16.97,16,1,1,1,,2009070300001770004,356,2,306,34,R,BAY,1,3,3,3,3,3,2006,1,,1,,402,VA,3
2009,41,Sheepshead,7,3,177,5,,543,589,23.19,23,1,1,1,,2009070300001770005,356,2,306,34,R,BAY,1,11,11,11,11,11,1998,1,,1,,543,VA,11
2009,42,Sheepshead,7,5,179,1,,515,569,22.40,22,1,1,1,,2009070500001790001,356,2,306,34,R,BAY,1,10,,11,,9,2000,1,1,,,515,VA,9
2009,43,Sheepshead,7,5,179,2,,534,589,23.19,23,1,1,1,,2009070500001790002,356,2,306,34,R,BAY,1,10,11,11,11,11,1998,1,1,1,,534,VA,11
2009,44,Sheepshead,7,5,179,3,,507,550,21.65,21,2,5,2,,2009070500001790003,356,2,306,34,R,BAY,1,11,12,11,11,11,1998,1,,1,,507,VA,11
2009,45,Sheepshead,7,5,179,4,,538,592,23.31,23,1,1,1,,2009070500001790004,356,2,306,34,R,BAY,1,9,9,9,9,9,2000,1,,1,,538,VA,9
2009,46,Sheepshead,7,5,2263,1,,550,610,24.02,24,3,,3,,2009070505022630001,356,1,306,20,R,BAY,1,19,20,19,21,19,1990,1,,1,,550,VA,19
2009,47,Sheepshead,7,12,191,1,,553,612,24.09,24,3,,3,,2009071200001910001,356,1,625,20,R,OCEAN,1,16,16,16,16,16,1993,1,,1,,553,VA,16
2009,48,Sheepshead,7,15,198,1,,515,564,22.20,22,1,4,1,(D050)RALPH GIANNINI,2009071500001980001,356,1,306,20,R,BAY,1,12,11,11,11,10,1999,1,1,1,,515,VA,10
2009,49,Sheepshead,8,3,202,1,,524,602,23.70,23,3,,3,No gonads( Carcass),2009080300002020001,356,2,307,20,R,BAY,1,12,12,12,12,12,1997,1,,1,,524,VA,12
2009,50,Sheepshead,8,3,202,2,,492,543,21.38,21,1,4,1,,2009080300002020002,356,2,307,20,R,BAY,1,6,7,7,7,7,2002,1,1,1,,492,VA,7
2009,51,Sheepshead,8,3,202,3,,512,565,22.24,22,1,4,1,,2009080300002020003,356,2,307,20,R,BAY,1,11,12,12,12,12,1997,1,1,1,,512,VA,12
2009,52,Sheepshead,8,3,202,4,,559,610,24.02,24,2,5,2,,2009080300002020004,356,2,307,20,R,BAY,1,12,13,13,15,12,1997,1,1,1,,559,VA,12
2009,53,Sheepshead,8,9,203,1,,392,426,16.77,16,1,4,1,,2009080900002030001,356,1,307,20,R,BAY,1,4,4,4,3,4,2005,1,,1,,392,VA,4
2009,54,Sheepshead,8,22,4255,1,8.900,520,580,22.83,22,1,3,1,,2009082206042550001,356,1,307,20,R,BAY,1,14,15,14,15,14,1995,1,,1,4037.04,520,VA,14
2009,55,Sheepshead,10,1,220,1,5.101,426,472,18.58,18,1,2,1,,2009100100002200001,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,2313.8136,426,VA,3
2009,56,Sheepshead,10,1,220,2,3.776,403,448,17.64,17,1,2,1,,2009100100002200002,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1712.7936,403,VA,3
2009,57,Sheepshead,10,1,220,3,3.249,389,427,16.81,16,2,2,2,,2009100100002200003,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1473.7464,389,VA,3
2009,58,Sheepshead,10,1,220,4,4.414,409,453,17.83,17,2,2,2,,2009100100002200004,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,2002.1904,409,VA,3
2009,59,Sheepshead,10,1,220,5,3.311,399,435,17.13,17,1,1,1,,2009100100002200005,356,1,307,142,C,BAY,1,4,,4,,4,2005,1,,,1501.8696,399,VA,4
2009,60,Sheepshead,10,1,220,6,3.326,385,423,16.65,16,2,2,2,,2009100100002200006,356,1,307,142,C,BAY,1,3,,3,,3,2006,1,,,1508.6736,385,VA,3
2009,61,Sheepshead,10,1,220,7,4.067,408,443,17.44,17,1,2,1,,2009100100002200007,356,1,307,142,C,BAY,1,4,4,4,4,4,2005,1,,1,1844.7912,408,VA,4
2009,62,Sheepshead,10,1,220,8,1.801,311,341,13.43,13,1,1,1,,2009100100002200008,356,1,307,142,C,BAY,1,2,2,2,2,2,2007,1,,1,816.9336,311,VA,2
2009,63,Sheepshead,10,1,220,9,3.570,385,424,16.69,16,1,1,1,,2009100100002200009,356,1,307,142,C,BAY,1,3,,3,,3,2006,1,,,1619.352,385,VA,3
2009,64,Sheepshead,10,1,220,10,4.909,432,469,18.46,18,2,2,2,,2009100100002200010,356,1,307,142,C,BAY,1,3,3,3,3,3,2006,1,,1,2226.7224,432,VA,3
2009,65,Sheepshead,10,15,225,1,3.260,369,405,15.94,15,2,2,2,1,200910150225001,356,1,306,142,C,BAY,1,3,,3,,3,2006,1,,,1478.736,369,VA,3
2009,66,Sheepshead,10,15,225,2,3.260,357,392,15.43,15,2,2,2,1,200910150225002,356,1,306,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1478.736,357,VA,3
2009,67,Sheepshead,10,15,225,3,2.650,346,375,14.76,14,2,2,2,1,200910150225003,356,1,306,142,C,BAY,1,2,,2,,2,2007,1,,,1202.04,346,VA,2
2009,68,Sheepshead,10,15,225,4,2.650,335,365,14.37,14,2,2,2,1,200910150225004,356,1,306,142,C,BAY,1,2,,2,,2,2007,1,,,1202.04,335,VA,2
2009,69,Sheepshead,10,15,227,1,3.600,368,400,15.75,15,1,2,1,1,200910150227001,356,1,308,100,C,BAY,1,,,,,,,,,,1632.96,368,VA,
2009,70,Sheepshead,10,16,229,1,5.180,425,472,18.58,18,1,1,1,,200910160229001,356,1,306,142,C,BAY,1,,,,,,,,,,2349.648,425,VA,
2009,71,Sheepshead,10,16,229,2,3.820,375,418,16.46,16,2,5,2,,200910160229002,356,1,306,142,C,BAY,1,2,2,2,2,2,2007,1,,1,1732.752,375,VA,2
