YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,STATE,AGE
2012,7,Sheepshead,6,5,2179,1,0.37,186,200,,7,3,,3,,201206052179001,356,1,306,142,C,BAY,GNHL,,2,,2,,2,2010,1,,,167.832,VA,2
2012,37,Sheepshead,7,29,123,3,,408,456,17.95,17,1,4,1,"""Richard McCabe""",201207290123003,356,1,306,20,R,BAY,GNHL,,5,5,5,5,5,2007,1,,1,,VA,5
2012,2,Sheepshead,5,8,2090,1,3.95,426,464,18.27,18,1,2,1,,201205082090001,356,1,306,142,C,BAY,GNHL,,5,5,5,5,5,2007,1,,1,1791.72,VA,5
2012,41,Sheepshead,7,31,2319,1,6.8,499,550,21.65,21,1,2,1,,201207312319001,356,1,306,142,C,BAY,GNHL,,5,5,5,5,5,2007,1,,1,3084.48,VA,5
2012,9,Sheepshead,6,7,85,2,,436,471,18.54,18,2,3,2,"""James Hitch""",201206070085002,356,1,625,20,R,OCEAN,GNHL,,5,5,5,5,5,2007,1,,1,,VA,5
2012,38,Sheepshead,7,29,123,4,,446,492,19.37,19,2,5,2,"""Mark Williams""",201207290123004,356,1,306,20,R,BAY,GNHL,,5,5,5,5,5,2007,1,,1,,VA,5
2012,48,Sheepshead,8,26,4269,1,,440,491,19.33,19,1,2,1,,201208284269001,356,1,307,20,R,BAY,GNHL,,6,6,6,6,6,2006,1,,1,,VA,6
2012,42,Sheepshead,8,12,135,1,,462,574,22.6,22,1,,1,"""Stephany Salenski""",201208120135001,356,1,307,20,R,BAY,GNHL,,6,,6,,6,2006,1,,,,VA,6
2012,36,Sheepshead,7,29,123,2,,463,519,20.43,20,2,4,2,"""Chistopher T. Drew""",201207290123002,356,1,306,20,R,BAY,GNHL,,5,6,6,6,6,2006,1,,1,,VA,6
2012,35,Sheepshead,7,29,123,1,,480,542,21.34,21,2,5,2,"""Kellie McCabe""",201207290123001,356,1,306,20,R,BAY,GNHL,,6,6,6,7,6,2006,1,,1,,VA,6
2012,11,Sheepshead,6,9,89,2,,511,550,21.65,21,2,5,2,"""Michael R. McCabe""",201206090089002,356,1,306,20,R,BAY,GNHL,,8,8,8,8,8,2004,1,,1,,VA,8
2012,19,Sheepshead,7,22,125,1,,504,557,21.93,21,2,3,2,"""Charles horton""",201207220125001,356,1,306,20,R,BAY,GNHL,,9,9,9,9,9,2003,1,,1,,VA,9
2012,12,Sheepshead,6,9,89,3,,516,550,21.65,21,1,2,1,"""Jay Barefoot""",201206090089003,356,1,306,20,R,BAY,GNHL,,10,11,11,11,10,2002,1,,1,,VA,10
2012,51,Sheepshead,9,17,2464,1,9.76,546,601,23.66,23,2,2,2,,201209182464001,356,1,306,100,C,BAY,GNHL,,10,11,10,10,10,2002,1,,1,4427.136,VA,10
2012,8,Sheepshead,6,7,85,1,,520,578,22.76,22,2,3,2,"""Charles Horton""",201206070085001,356,1,625,20,R,OCEAN,GNHL,,11,11,11,11,11,2001,1,,1,,VA,11
2012,10,Sheepshead,6,9,89,1,,533,584,22.99,22,2,5,2,"""Mark Williams""",201206090089001,356,1,306,20,R,BAY,GNHL,,11,11,11,11,11,2001,1,,1,,VA,11
2012,17,Sheepshead,7,3,2244,1,10.71,553,610,24.02,24,2,5,2,,201207052244001,356,1,306,142,C,BAY,GNHL,,15,15,15,15,15,1997,1,,1,4858.056,VA,15
2012,39,Sheepshead,7,29,123,5,,550,611,24.06,24,2,5,2,"""Janet Oleska""",201207290123005,356,1,306,20,R,BAY,GNHL,,15,,15,,15,1997,1,,,,VA,15
2012,15,Sheepshead,6,28,101,1,,568,622,24.49,24,2,2,2,"""Michael Owens""",201206280101001,356,1,306,20,R,BAY,GNHL,,15,14,15,15,15,1997,1,,1,,VA,15
2012,13,Sheepshead,6,9,89,4,,501,540,21.26,21,1,2,1,"""Mike Darise""",201206090089004,356,1,306,20,R,BAY,GNHL,,20,20,19,20,20,1992,1,,1,,VA,20
2012,3,Sheepshead,5,29,2150,1,11.28,573,630,24.8,24,2,3,2,,201205292150001,356,1,307,20,C,BAY,GNHL,,20,,20,,20,1992,1,,,5116.608,VA,20
2012,4,Sheepshead,5,29,2150,2,11.88,583,631,24.84,24,2,5,2,,201205292150002,356,1,307,20,C,BAY,GNHL,,20,20,20,20,20,1992,1,,1,5388.768,VA,20
2012,5,Sheepshead,5,31,2164,1,11.46,566,624,24.57,24,2,3,2,,201205312164001,356,1,306,142,C,BAY,GNHL,,25,25,25,25,25,1987,1,,1,5198.256,VA,25
2012,16,Sheepshead,6,28,4253,1,,548,600,23.62,23,1,2,1,,201207164253001,356,6,307,20,R,BAY,GNHL,,,,,,,,,,,,VA,
