YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50
2014,35,Sheepshead,6,7,4227,3,,532,574,22.6,22,1,2,,201406074227003,356,1,307,20,R,BAY,GNHL,,13,,13,,13,2001,1,,
2014,36,Sheepshead,6,7,4227,4,,547,594,,23,1,2,,201406074227004,356,1,307,20,R,BAY,GNHL,,20,,20,,20,1994,1,,
2014,37,Sheepshead,6,7,4227,5,,558,610,24.02,24,2,2,,201406074227005,356,1,307,20,R,BAY,GNHL,,24,,25,,24,1990,1,,
2014,38,Sheepshead,6,7,4227,6,,589,655,,25,2,3,,201406074227006,356,1,307,20,R,BAY,GNHL,,17,,17,,17,1997,1,,
2014,39,Sheepshead,6,8,110,1,,512,570,22.44,22,2,3,"""London Goodson""",201406080110001,356,1,306,20,R,BAY,GNHL,,13,,13,,13,2001,1,,
2014,40,Sheepshead,6,8,110,2,,442,488,19.21,19,2,3,,201406080110002,356,1,306,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,41,Sheepshead,6,8,110,3,,400,435,17.13,17,1,,,201406080110003,356,1,306,20,R,BAY,GNHL,,6,,6,,6,2008,1,,
2014,42,Sheepshead,6,8,110,4,,411,460,18.11,18,1,3,,201406080110004,356,1,306,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,43,Sheepshead,6,8,110,5,,456,502,19.76,19,1,,,201406080110005,356,1,306,20,R,BAY,GNHL,,6,6,7,6,7,2007,1,,1
2014,44,Sheepshead,6,8,110,6,,531,582,22.91,22,1,,,201406080110006,356,1,306,20,R,BAY,GNHL,,17,,16,,17,1997,1,,
2014,45,Sheepshead,6,8,110,7,,419,467,18.39,18,2,4,,201406080110007,356,1,306,20,R,BAY,GNHL,,7,,7,,7,2007,1,,
2014,46,Sheepshead,6,8,110,8,,397,445,17.52,17,2,2,,201406080110008,356,1,306,20,R,BAY,GNHL,,6,6,6,6,6,2008,1,,1
2014,47,Sheepshead,6,8,110,9,,426,475,18.7,18,2,1,,201406080110009,356,1,306,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,48,Sheepshead,6,8,110,10,,515,572,22.52,22,1,4,,201406080110010,356,1,306,20,R,BAY,GNHL,,9,9,10,9,9,2005,1,,1
2014,49,Sheepshead,6,8,4230,1,,471,513,20.2,20,1,2,,201406084230001,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2006,1,,1
2014,50,Sheepshead,6,8,4230,2,,521,571,22.48,22,2,3,,201406084230002,356,1,307,20,R,BAY,GNHL,,9,,9,,9,2005,1,,
2014,51,Sheepshead,6,8,4230,3,,443,486,19.13,19,1,2,,201406084230003,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2006,1,,1
2014,52,Sheepshead,6,8,4230,4,,448,489,19.25,19,1,2,,201406084230004,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2006,1,,1
2014,53,Sheepshead,6,8,4230,5,,449,497,19.57,19,1,2,,201406084230005,356,1,307,20,R,BAY,GNHL,,7,,7,,7,2007,1,,
2014,54,Sheepshead,6,8,4230,6,,509,564,22.2,22,1,2,,201406084230006,356,1,307,20,R,BAY,GNHL,,8,7,7,8,8,2006,1,,1
2014,55,Sheepshead,6,12,98,1,2.66,351,386,15.2,15,2,2,,201406120098001,356,1,306,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,56,Sheepshead,6,12,98,2,2.16,338,373,14.69,14,2,2,,201406120098002,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,57,Sheepshead,6,17,158,1,,364,392,15.43,15,3,,,201406170158001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,58,Sheepshead,6,17,158,2,,549,603,23.74,23,2,,,201406170158002,356,1,307,20,R,BAY,GNHL,,17,17,17,17,17,1997,1,,1
2014,59,Sheepshead,6,26,4246,1,,468,513,20.2,20,1,2,,201406264246001,356,1,307,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,60,Sheepshead,6,26,4246,2,,577,630,24.8,24,2,2,,201406264246002,356,1,307,20,R,BAY,GNHL,,26,,25,,26,1988,1,,
2014,61,Sheepshead,7,4,156,1,,544,601,23.66,23,3,,,201407040156001,356,1,307,20,R,BAY,GNHL,,17,,16,,17,1997,1,,
2014,62,Sheepshead,7,6,157,1,11.96,540,592,23.31,23,1,3,,201407060157001,356,6,307,20,R,BAY,GNHL,,,,,,,,,,
2014,63,Sheepshead,7,10,2282,1,7.84,533,585,23.03,23,2,5,,201407102282001,356,1,306,142,C,BAY,GNHL,,9,,8,,9,2005,1,,
2014,64,Sheepshead,7,13,167,1,,451,504,19.84,19,3,,"""no gonads""",201407130167001,356,1,307,20,R,BAY,GNHL,,9,,9,,9,2005,1,,
2014,65,Sheepshead,7,13,167,2,,487,545,21.46,21,3,,"""no gonads""",201407130167002,356,1,307,20,R,BAY,GNHL,,7,8,7,7,7,2007,1,,1
2014,66,Sheepshead,7,13,167,3,,485,534,21.02,21,3,,"""no gonads""",201407130167003,356,1,307,20,R,BAY,GNHL,,6,7,6,6,6,2008,1,,1
2014,67,Sheepshead,7,18,180,1,,531,580,,22,2,2,,201407180180001,356,1,307,20,R,BAY,GNHL,,25,26,26,26,26,1988,1,,1
2014,68,Sheepshead,7,22,187,1,,550,589,23.19,23,3,,,201407220187001,356,1,306,20,R,BAY,GNHL,,20,20,20,20,20,1994,1,,1
2014,69,Sheepshead,7,22,187,2,,480,525,20.67,20,2,2,,201407220187002,356,1,306,20,R,BAY,GNHL,,8,8,7,8,8,2006,1,,1
2014,70,Sheepshead,7,24,2327,1,11.88,589,649,25.55,25,1,4,,201407242327001,356,1,306,142,C,BAY,GNHL,,18,18,18,18,18,1996,1,,1
2014,71,Sheepshead,7,24,2327,2,5.61,469,522,20.55,20,2,5,,201407242327002,356,1,306,142,C,BAY,GNHL,,7,7,6,7,8,2006,1,,1
2014,72,Sheepshead,7,26,4276,1,,535,581,,22,1,2,,201407304276001,356,1,307,20,R,BAY,GNHL,,16,,15,,16,1998,1,,
2014,73,Sheepshead,7,26,4276,2,,454,505,19.88,19,1,2,,201407304276002,356,1,307,20,R,BAY,GNHL,,9,9,8,9,9,2005,1,,1
2014,74,Sheepshead,7,26,4276,3,,489,539,21.22,21,1,2,,201407304276003,356,1,307,20,R,BAY,GNHL,,8,8,7,8,8,2006,1,,1
2014,75,Sheepshead,7,26,4276,4,,404,441,17.36,17,1,2,,201407304276004,356,1,307,20,R,BAY,GNHL,,8,,7,,8,2006,1,,
2014,76,Sheepshead,8,4,4280,1,,370,410,16.14,16,1,4,,201408014280001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,77,Sheepshead,8,4,4280,2,,373,412,16.22,16,1,4,,201408014280002,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,78,Sheepshead,8,8,205,1,10,545,600,23.62,23,1,1,,201408080205001,356,1,306,20,R,BAY,GNHL,,21,,20,,21,1993,1,,
2014,79,Sheepshead,8,8,4291,1,,588,651,,25,1,2,,201408054291001,356,1,307,20,R,BAY,GNHL,,16,,16,,16,1998,1,,
2014,80,Sheepshead,8,8,4291,2,,524,581,22.87,22,1,2,,201408054291002,356,1,307,20,R,BAY,GNHL,,7,7,6,7,7,2007,1,,1
2014,81,Sheepshead,8,8,4291,3,,513,562,22.13,22,1,2,,201408054291003,356,1,307,20,R,BAY,GNHL,,6,,6,,6,2008,1,,
2014,82,Sheepshead,8,8,4291,4,,473,521,20.51,20,2,2,,201408054291004,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2006,1,,1
2014,83,Sheepshead,8,8,4291,5,,364,406,15.98,15,1,2,,201408054291005,356,1,307,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,84,Sheepshead,8,9,204,1,,448,494,19.45,19,1,,,201408090204001,356,1,306,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,85,Sheepshead,8,9,204,2,,425,470,18.5,18,2,,,201408090204002,356,1,306,20,R,BAY,GNHL,,5,5,6,5,5,2009,1,,1
2014,86,Sheepshead,8,9,204,3,,503,550,21.65,21,1,2,,201408090204003,356,1,306,20,R,BAY,GNHL,,6,6,6,6,6,2008,1,,1
2014,87,Sheepshead,8,9,204,4,,441,480,18.9,18,1,,,201408090204004,356,1,306,20,R,BAY,GNHL,,7,7,6,7,7,2007,1,,1
2014,88,Sheepshead,8,9,204,5,,452,500,19.69,19,2,3,,201408090204005,356,1,306,20,R,BAY,GNHL,,6,6,5,5,5,2009,1,,1
2014,89,Sheepshead,8,9,204,6,,439,484,19.06,19,2,,,201408090204006,356,1,306,20,R,BAY,GNHL,,6,,6,,6,2008,1,,
2014,90,Sheepshead,8,9,204,7,,482,530,20.87,20,1,,,201408090204007,356,1,306,20,R,BAY,GNHL,,7,,7,,7,2007,1,,
2014,91,Sheepshead,8,9,204,8,,415,461,18.15,18,1,,,201408090204008,356,1,306,20,R,BAY,GNHL,,4,,4,,4,2010,1,,
2014,92,Sheepshead,8,9,206,1,,340,379,14.92,14,1,1,,201408090206001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,93,Sheepshead,8,9,206,2,,355,388,15.28,15,2,1,,201408090206002,356,1,307,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,94,Sheepshead,8,9,206,3,,350,382,15.04,15,1,1,,201408090206003,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,95,Sheepshead,8,9,206,4,11.86,525,590,,23,1,,,201408090206004,356,1,307,20,R,BAY,GNHL,,28,,26,,28,1986,1,,
2014,96,Sheepshead,8,9,214,1,4.7,412,453,17.83,17,2,2,"""ONE OTOLITH""",201408090214001,356,1,307,20,R,BAY,GNHL,,6,,6,,6,2008,1,,
2014,97,Sheepshead,8,10,4298,1,,433,471,18.54,18,1,2,,201408104298001,356,1,306,20,R,BAY,GNHL,,8,,8,,8,2006,1,,
2014,98,Sheepshead,8,10,4298,2,,479,520,20.47,20,1,2,,201408104298002,356,1,306,20,R,BAY,GNHL,,9,,9,,9,2005,1,,
2014,99,Sheepshead,8,28,257,1,,408,440,17.32,17,1,3,,201408280257001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,100,Sheepshead,8,28,257,2,,417,458,18.03,18,1,3,,201408280257002,356,1,307,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,101,Sheepshead,8,28,257,3,,363,402,15.83,15,1,3,,201408280257003,356,6,307,20,R,BAY,GNHL,,,,,,,,,,
2014,102,Sheepshead,8,28,257,4,,355,390,15.35,15,1,3,,201408280257004,356,1,307,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,103,Sheepshead,8,28,257,5,,457,506,19.92,19,1,3,,201408280257005,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2006,1,,1
2014,104,Sheepshead,8,28,258,1,,410,435,17.13,17,1,3,,201408280258001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,105,Sheepshead,8,29,259,1,,526,591,23.27,23,1,3,,201408290259001,356,1,307,20,R,BAY,GNHL,,16,16,16,16,16,1998,1,,1
2014,106,Sheepshead,8,29,4351,1,,485,540,21.26,21,1,2,,201408294351001,356,1,306,20,R,BAY,GNHL,,7,,6,,7,2007,1,,
2014,108,Sheepshead,9,1,4352,2,,430,473,18.62,18,1,2,,201409014352002,356,1,306,20,R,BAY,GNHL,,5,,5,,5,2009,1,,
2014,109,Sheepshead,9,1,4352,3,,402,435,17.13,17,1,2,,201409014352003,356,1,306,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,110,Sheepshead,9,1,4352,4,,502,556,21.89,21,1,2,,201409014352004,356,1,306,20,R,BAY,GNHL,,9,,9,,9,2005,1,,
2014,111,Sheepshead,9,1,4352,5,,461,512,20.16,20,1,2,,201409014352005,381,1,306,20,R,BAY,GNHL,,7,,7,,7,2007,1,,
2014,113,Sheepshead,9,1,4352,7,,450,499,19.65,19,1,2,,201409014352007,356,1,306,20,R,BAY,GNHL,,9,,8,,9,2005,1,,
2014,114,Sheepshead,9,6,4359,1,,347,407,16.02,16,1,2,,201409064359001,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,115,Sheepshead,9,6,4359,2,,382,423,16.65,16,1,2,,201409064359002,356,1,307,20,R,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,116,Sheepshead,9,6,4359,3,,351,384,15.12,15,1,2,,201409064359003,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,117,Sheepshead,9,6,4359,4,,393,439,17.28,17,1,2,,201409064359004,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,118,Sheepshead,9,16,4380,1,,541,595,23.43,23,1,2,,201408304380001,356,1,307,20,R,BAY,GNHL,,17,,17,,17,1997,1,,
2014,119,Sheepshead,9,24,261,1,,455,506,19.92,19,2,2,,201409240261001,356,1,307,20,R,BAY,GNHL,,7,7,7,7,7,2007,1,,1
2014,120,Sheepshead,9,24,261,2,,470,520,20.47,20,1,3,,201409240261002,356,1,307,20,R,BAY,GNHL,,7,,6,,7,2007,1,,
2014,121,Sheepshead,9,28,260,1,,420,459,18.07,18,1,3,,201409280260001,356,1,307,20,R,BAY,GNHL,,5,5,5,5,5,2009,1,,1
2014,122,Sheepshead,9,28,260,2,,309,338,13.31,13,1,3,,201409280260002,356,1,307,20,R,BAY,GNHL,,3,,3,,3,2011,1,,
2014,123,Sheepshead,10,10,278,1,,523,575,,22,3,,"""Gonads missing""",201410100278001,356,1,307,20,R,BAY,GNHL,,23,,24,,24,1990,1,,
2014,124,Sheepshead,10,20,4486,1,1.19,268,293,11.54,11,2,2,,201410204486001,356,1,307,70,C,BAY,OTHERS,,2,2,1,2,2,2012,1,,1
2014,125,Sheepshead,10,31,2849,1,12.77,590,650,25.59,25,2,2,,201410312849001,356,1,306,142,C,BAY,GNHL,,23,,24,,23,1991,1,,
