YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,GRAM,FL,STATE,AGE
2011,21,Sheepshead,7,25,2282,1,7.15,495,546,21.5,21,1,2,1,,201107252282001,356,1,306,142,C,BAY,GNHL,,6,6,5,6,6,2005,1,1,3243.24,495,VA,6
2011,22,Sheepshead,8,13,98,1,,558,604,23.78,23,1,2,1,"""Caleb Jones""",201108130098001,356,1,307,20,R,BAY,GNHL,,20,21,20,20,20,1991,1,,,558,VA,20
2011,23,Sheepshead,8,13,98,2,,582,627,24.69,24,2,5,2,"""Lin Rose""",201108150098002,356,1,307,20,R,BAY,GNHL,,30,30,29,29,30,1981,1,,,582,VA,30
2011,24,Sheepshead,8,13,98,3,,511,559,22.01,22,2,5,2,"""Ken Rose""",201108150098003,356,1,307,20,R,BAY,GNHL,,6,6,5,6,6,2005,1,,,511,VA,6
2011,25,Sheepshead,8,20,116,1,11.6,540,586,23.07,23,2,5,2,"""Rob Myers""",201108200116001,356,1,307,20,R,BAY,GNHL,,11,12,11,12,11,2000,1,,5261.76,540,VA,11
2011,26,Sheepshead,8,20,116,2,12.15,564,618,24.33,24,2,5,2,"""Darryl Nemeth""",201108200116002,356,1,307,20,R,BAY,GNHL,,14,14,14,15,14,1997,1,,5511.24,564,VA,14
2011,27,Sheepshead,8,20,118,1,11.06,550,599,23.58,23,2,5,2,"""Steve Raniszewski""",201108200118001,356,1,307,20,R,BAY,GNHL,,16,17,17,16,17,1994,1,,5016.816,550,VA,17
2011,28,Sheepshead,8,20,118,2,,489,540,21.26,21,2,5,2,"""Bill Knapp""",201108200118002,356,1,307,20,R,BAY,GNHL,,10,10,9,10,10,2001,1,,,489,VA,10
2011,29,Sheepshead,9,7,2347,1,11.59,598,650,25.59,25,2,4,2,,201109072347001,356,1,306,100,C,BAY,GNHL,,18,19,18,19,18,1993,1,,5257.224,598,VA,18
2011,30,Sheepshead,9,24,2566,1,,448,493,19.41,19,3,,3,,201111042566001,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2007,1,,,448,VA,4
2011,31,Sheepshead,9,24,2566,2,,411,449,17.68,17,2,2,2,,201111042566002,356,1,307,20,R,BAY,GNHL,,3,3,4,3,3,2008,1,,,411,VA,3
2011,32,Sheepshead,9,24,2566,3,,437,480,18.9,18,2,5,2,,201111042566003,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2007,1,,,437,VA,4
2011,33,Sheepshead,9,24,2566,4,,429,468,18.43,18,2,5,2,,201111042566004,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2007,1,,,429,VA,4
2011,34,Sheepshead,9,24,2566,5,,414,460,18.11,18,2,5,2,,201111042566005,356,1,307,20,R,BAY,GNHL,,5,5,5,5,5,2006,1,,,414,VA,5
2011,35,Sheepshead,9,24,2566,6,,437,479,18.86,18,2,5,2,,201111042566006,356,1,307,20,R,BAY,GNHL,,5,5,5,5,5,2006,1,,,437,VA,5
2011,36,Sheepshead,9,24,2566,7,,453,508,20,20,1,2,1,,201111042566007,356,1,307,20,R,BAY,GNHL,,5,5,5,5,5,2006,1,,,453,VA,5
2011,37,Sheepshead,9,29,4339,1,,446,499,19.65,19,1,2,1,,201110074339001,356,1,307,20,R,BAY,GNHL,,6,6,6,6,6,2005,1,,,446,VA,6
2011,38,Sheepshead,9,29,4339,2,,415,450,17.72,17,1,2,1,,201110074339002,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2007,1,,,415,VA,4
2011,39,Sheepshead,10,9,2502,1,,512,572,22.52,22,1,3,1,,201110172502001,356,1,306,20,R,BAY,GNHL,,13,13,13,12,13,1998,1,,,512,VA,13
2011,40,Sheepshead,10,9,2517,1,,551,614,24.17,24,2,5,2,,201110182517001,356,1,307,20,R,BAY,GNHL,,14,13,14,14,14,1997,1,,,551,VA,14
2011,41,Sheepshead,10,16,153,1,,446,483,19.02,19,1,4,1,"""Bill Bauckman""",201110160153001,356,1,306,20,R,BAY,GNHL,,5,5,5,5,5,2006,1,,,446,VA,5
2011,42,Sheepshead,10,31,2579,1,,385,418,16.46,16,1,2,1,,201110312579001,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2007,1,,,385,VA,4
